Name,Goals,Assists,Minutes,Solo runs into attacking third,Solo runs into key area,Solo runs into penalty area,Deliveries into attacking third,Deliveries into a key area,Deliveries into penalty area,Total attempts,On target,Red cards,Yellow cards,Fouls committed,Tackles,Blocks
Caner Erkin,0,0,180,2,1,0,8,5,2,1,1,0,0,1,0,0
David Limberský,0,0,180,2,0,0,3,1,0,0,0,0,1,6,1,0
Ciaran Clark,0,0,180,0,0,0,2,0,0,2,0,0,0,2,0,1
Glenn Whelan,0,0,180,3,1,0,7,2,2,1,0,0,1,1,0,0
Vyacheslav Shevchuk,0,0,180,3,0,1,9,3,4,3,0,0,0,2,0,2
Yaroslav Rakitskiy,0,0,180,5,2,0,14,4,2,2,2,0,0,2,0,0
Conor Washington,0,0,188,2,1,3,0,0,0,3,0,0,0,3,0,1
Breel Embolo,0,0,192,5,6,1,1,1,1,5,0,0,1,7,0,0
Raheem Sterling,0,0,192,9,5,3,1,2,3,2,0,0,0,4,0,0
Marcel Sabitzer,0,0,194,0,0,1,3,8,3,2,0,0,0,0,0,1
John O'Shea,0,0,202,0,0,0,1,1,0,0,0,0,0,0,0,1
Daniele De Rossi,0,0,206,0,0,0,10,6,1,0,0,0,1,4,2,0
Bartosz Kapustka,0,0,207,5,3,3,7,6,1,6,1,0,3,5,1,1
Eliseu,0,0,210,7,0,0,14,3,5,1,0,0,0,1,0,0
Kyle Lafferty,0,0,211,1,2,0,1,1,0,2,0,0,0,9,0,0
James McClean,0,0,212,5,1,1,3,1,2,4,1,0,0,2,1,0
Stefano Sturaro,0,0,215,2,2,0,7,2,1,2,0,0,1,5,0,1
Jamie Ward,0,0,222,7,5,2,4,2,4,4,2,0,1,1,1,0
Adam Lallana,0,0,223,3,1,1,9,8,2,7,2,0,0,4,0,0
Danilo,0,0,225,1,0,1,12,5,0,2,1,0,0,3,1,0
Erik Johansson,0,0,225,1,1,0,4,2,1,0,0,0,1,4,0,0
Ovidiu Hoban,0,0,225,3,3,0,11,4,1,5,1,0,0,6,1,2
Mario Götze,0,0,234,1,2,7,2,6,1,8,4,0,0,4,2,0
Harry Kane,0,0,240,2,5,1,6,10,6,14,4,0,0,2,0,0
Fedor Smolov,0,0,245,1,1,4,4,3,1,8,1,0,0,2,0,0
Arda Turan,0,0,245,6,4,1,6,9,0,4,0,0,0,1,1,0
Selçuk İnan,0,0,250,1,1,0,11,2,3,1,0,0,0,7,1,0
Sebastian Larsson,0,0,250,3,1,0,9,5,3,1,0,0,0,6,0,1
Emil Forsberg,0,0,251,8,6,2,3,2,2,2,0,0,0,2,1,0
Roland Juhász,0,0,253,0,0,0,12,3,0,2,0,0,1,4,0,2
Aleksandr Kokorin,0,0,255,3,7,1,7,7,1,4,0,0,0,2,3,0
Ermir Lenjani,0,0,257,9,4,0,3,4,0,4,0,0,0,4,0,0
Corry Evans,0,0,264,1,0,0,2,1,0,1,0,0,0,6,0,4
Jaroslav Plašil,0,0,266,6,5,0,8,7,1,2,1,0,1,4,0,0
Mario Mandžukić,0,0,268,4,0,2,6,4,0,9,4,0,0,4,2,1
Julian Baumgartlinger,0,0,270,5,6,0,21,10,5,2,1,0,0,3,2,0
Artem Dzyuba,0,0,270,1,1,0,2,3,0,5,2,0,0,3,0,1
Artem Fedetskiy,0,0,270,4,0,0,7,3,2,0,0,0,0,5,3,0
Andreas Granqvist,0,0,270,0,0,0,4,1,0,1,0,0,0,6,2,5
Florian Klein,0,0,270,2,0,0,12,3,3,0,0,0,0,4,3,0
Taras Stepanenko,0,0,270,1,2,0,20,6,1,2,0,0,0,5,1,1
Danny Rose,0,0,270,7,1,1,16,13,1,1,0,0,0,2,0,1
Martin Olsson,0,0,270,16,2,0,14,4,4,1,0,0,1,1,0,0
Tamás Kádár,0,0,270,4,1,1,35,8,4,2,0,0,2,8,2,0
Igor Smolnikov,0,0,270,6,2,0,11,11,4,1,0,0,0,3,2,1
Cristian Săpunaru,0,0,270,2,1,1,20,7,1,2,0,0,1,4,1,1
Roman Hubník,0,0,270,0,0,0,7,3,0,1,1,0,0,1,1,5
Hakan Balta,0,0,270,1,0,0,3,2,0,1,0,0,2,3,0,4
Kim Källström,0,0,270,3,2,0,26,12,13,0,0,0,0,3,1,1
Sergei Ignashevich,0,0,270,1,1,0,20,10,1,3,1,0,0,3,0,3
Ansi Agolli,0,0,270,5,2,0,12,4,2,0,0,0,0,3,3,3
Tomáš Sivok,0,0,270,0,0,0,11,6,1,4,0,0,1,4,0,1
Aaron Hughes,0,0,270,1,0,0,11,3,2,0,0,0,0,0,0,0
Ricardo Carvalho,0,0,270,0,0,0,2,1,0,2,0,0,0,4,2,0
Stephen Ward,0,0,270,3,0,0,18,2,6,3,1,0,1,1,0,2
Vieirinha,0,0,270,7,5,0,28,12,8,3,2,0,0,1,0,0
Christian Fuchs,0,0,270,4,2,0,19,10,7,3,0,0,1,4,2,1
Martin Hinteregger,0,0,270,4,3,0,17,8,0,6,0,0,1,4,1,5
Elseid Hysaj,0,0,270,5,1,0,20,2,5,1,0,0,1,1,1,0
Vladimír Darida,0,0,270,11,7,1,16,3,5,7,3,0,0,0,2,2
Victor Nilsson Lindelöf,0,0,270,7,2,1,10,4,1,0,0,0,1,1,0,0
Ádám Nagy,0,0,270,3,4,1,4,4,2,1,0,0,1,2,1,1
Andriy Yarmolenko,0,0,270,5,6,4,4,2,2,6,3,0,0,2,1,0
Marko Arnautović,0,0,270,3,6,4,7,7,4,4,2,0,0,4,1,0
Gökhan Gönül,0,0,270,7,3,0,12,6,2,0,0,0,0,0,1,0
Yevhen Konoplyanka,0,0,270,22,12,2,9,5,11,13,2,0,1,6,1,0
Ladislav Krejčí,0,0,270,1,0,1,6,1,6,1,1,0,0,4,1,0
Yevhen Khacheridi,0,0,270,0,0,0,3,2,0,1,1,0,0,3,1,2
Vlad Chiricheş,0,0,270,0,0,0,4,3,0,1,0,0,1,0,0,4
Dragoş Grigore,0,0,270,0,0,0,10,2,0,0,0,0,1,4,0,0
Kyle Walker,0,0,270,26,4,5,18,19,4,1,0,0,0,2,1,0
Mërgim Mavraj,0,0,270,0,0,0,3,2,0,3,0,0,1,1,4,2
Amir Abrashi,0,0,270,2,1,1,7,5,1,3,1,0,1,4,0,3
Pavel Kadeřábek,0,0,270,2,0,1,11,2,0,3,1,0,0,5,4,0
Kingsley Coman,0,0,272,16,11,7,7,16,9,6,1,0,0,1,0,0
Haris Seferović,0,0,289,1,0,2,4,5,3,9,5,0,0,2,0,1
James McCarthy,0,0,295,0,0,0,7,2,2,0,0,0,1,9,1,2
Domagoj Vida,0,0,300,0,0,0,1,0,0,6,0,0,1,4,3,0
Ivan Strinić,0,0,300,3,0,1,13,3,1,1,0,0,1,3,2,0
Samuel Umtiti,0,0,300,2,1,0,9,5,0,0,0,0,2,4,1,2
Blerim Džemaili,0,0,306,5,9,2,14,4,3,11,0,0,0,4,0,1
Mattia De Sciglio,0,0,323,4,3,1,11,16,3,2,0,0,2,4,3,1
Adrien Silva,0,0,326,3,7,0,13,7,2,3,0,0,1,6,0,2
David Silva,0,0,334,11,14,7,20,14,12,8,1,0,1,5,0,1
Sami Khedira,0,0,341,9,5,2,30,19,0,9,4,0,1,3,0,0
Alessandro Florenzi,0,0,345,5,6,5,5,8,5,3,2,0,0,2,1,1
Valon Behrami,0,0,347,6,3,0,14,8,0,1,0,0,1,7,1,3
Shane Long,0,0,349,1,4,1,0,1,0,1,0,0,2,11,0,0
Krzysztof Mączyński,0,0,353,2,0,1,12,8,2,6,0,0,1,6,1,2
Sergio Busquets,0,0,360,8,7,0,36,20,2,1,0,0,1,3,2,2
Juraj Kucka,0,0,360,12,11,0,10,6,1,5,3,0,2,11,1,0
Chris Smalling,0,0,360,0,0,0,1,1,0,3,1,0,0,3,0,0
Jeff Hendrick,0,0,360,8,8,0,8,3,2,7,3,0,2,5,1,0
Ádám Lang,0,0,360,1,1,1,23,5,2,0,0,0,1,6,1,3
Richárd Guzmics,0,0,360,1,1,0,4,2,0,0,0,0,1,3,3,1
Jonny Evans,0,0,360,3,1,0,15,4,3,1,0,0,1,5,2,2
Craig Cathcart,0,0,360,1,1,0,7,1,1,1,0,0,1,4,0,0
Gary Cahill,0,0,360,7,5,0,13,5,0,5,1,0,1,2,1,2
Jan Vertonghen,0,0,360,5,3,0,28,12,3,2,0,0,1,0,4,0
Juanfran,0,0,360,9,5,2,8,7,5,1,0,0,0,3,2,1
Peter Pekarík,0,0,360,12,1,0,11,7,3,0,0,0,0,1,2,1
Ján Ďurica,0,0,360,0,0,0,4,1,0,2,0,0,1,4,2,8
Thomas Vermaelen,0,0,360,1,1,0,6,1,0,0,0,0,2,8,2,2
Sergio Ramos,0,0,360,3,3,0,46,19,2,9,1,0,1,6,1,1
Martin Škrtel,0,0,360,1,2,0,8,6,0,0,0,0,2,4,2,7
Steven Davis,0,0,360,5,3,2,9,4,1,2,1,0,1,6,2,1
Joe Ledley,0,0,363,2,2,0,7,4,2,0,0,0,0,3,1,2
Moussa Sissoko,0,0,382,26,11,1,15,16,4,8,3,0,0,5,2,0
